Card Name,Card Description,Labels,Checklist,Checklist item
,,,,"Add link to product details on products in product page"
"Customer account sign up","As a customerI want to sign up and create an accountFor the purpose of in the future reduce amount of times i have to enter my details‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Visitors can enter sign up page"
,,,,"Users signed in can not enter sign up page"
,,,,"Visitors who attempt to sign up has an account created on the server"
,,,"Tasks","Sign up page (med form)"
,,,,"Make connection to "opret bruger" button on navbar"
"Customer account sign up confirmation","As a customerI want to get a confirmation when i registerBecause I want to know if i have done it right (or if someone uses my email)Storypoints - **xx**","",,
,,,"Acceptance Criteria","Email is sent (if possible)"
,,,,"When the customer successfully signs up a success message, on modal or different page, is shown"
,,,,"If something goes wrong (wrong email, name ect) an error message is shown"
,,,"Tasks","Confirmation to customer (email if possible)"
,,,,"Signup successful message"
"Sign in, sign out","As a customer i want to loginSo i wont have to enter my details againWith the purpose of not entering my details reduntdantlyStorypoints - **xx**","",,
,,,"Acceptance Criteria","User can log in"
,,,,"User can log out"
,,,"Tasks","Login using account username and password"
,,,,"Logout from the webshop"
"Add to basket","As a UserI want to add a product to my basketIn order to compile my orderStorypoints - **xx**","",,
,,,"Acceptance Criteria","See all order lines"
,,,,"Only see orderlines for YOUR OWN ORDER"
,,,"Tasks","Shows all products in the basket"
,,,,"Save orderlines somewhere so multiple users do not interfere with eachother"
"Basket N/A (not available) when visitor","As ownerI want the customer to be logged in to have access to the basketso I can avoid anonymous purchasesStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given a visitor wants to add products to basket, when not logged in, then they will be prompted to log in."
,,,"Tasks","Redirect to log in when pushing the basket button "
,,,,"Redirect to log in when trying to add a product to basket"
"Check out (orders)","As a customerI want to create a order from my basketin order to purchase the productsStorypoints - **xx**","",,
,,,"Acceptance Criteria","Final order is added to the database"
,,,,"Send confirmation when order is added"
,,,,"Errors... lack of connection somewhere in communication line"
,,,,"Given that a basket is converted to Order, when purchasing the order, then the Order correctly reflects the basket"
,,,"Tasks","A Basket will be converted to a Order object"
"Admin create user","As an AdminI want to be able to create a new userin order to manage the websiteStorypoints - **xx**","",,
,,,"Tasks","A user create page with appropriate input fields"
,,,"Acceptance Criteria","Constraints"
,,,,"Given that an Admin creates user, when all necessary information and roles has been filled out, then the user is correctly created "
,,,,"Admin is able to navigate to the "opret bruger" page"
,,,,"Given a user is created successfully, when an Admin has created a user, then the system will notify the Admin"
"Employee all orders view page","As an employeeI want to be able to see all ordersSo i can get an overviewStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given an employee enters page, when wanting to view all orders, then all orders that are not more than a week old is displayed"
,,,"Tasks","Create a see all orders-page"
,,,,"Page displays all orders from the last week as a standard"
"Employee review order","As a employeeI want to review new ordersSo I can accept or deny the orderStorypoints - **xx**","",,
,,,"Tasks","Make "Bekræft" button"
,,,,"Customer gets email notification when "Bekræft" button is pressed"
,,,,"Make "Afvis" button"
,,,,"Customer gets email notification when "Afvis" button is pressed"
,,,"Acceptance Criteria","Given that a order is accepted, when the employee presses "bekræft", then the order status is updated to "Approved""
,,,,"Given that a order is denied, when the employee presses "Afvis", then the order status is changed to "Denied""
,,,,"Given that an order is either changed approved or denied, when an order is reviewed, then the system sends an appropriate email to customer"
,,,,"An appropiate email, "Fuck you", when denying orders in bulk from same "customer" (nice to have)"
"Assign employee to an order","As an employeeI want to assign an order to myselfSo the responsibility for an order is divided.Storypoints - **xx**","",,
,,,"Tasks","An employee can update the status of an order to in progress and mark it as "theirs""
,,,"Acceptance Criteria","Only 1 can be assigned at a time per order"
,,,,"You can take an already assigned order"
"Employee completes an order","As an employeeI want to mark an order as ready (for pickup) and completed (picked up by customer)so orders can be easily managedStorypoints - **xx**","",,
,,,"Tasks","Make the order change status to ready when the "klar til levering" button is clicked"
,,,,"Make the order change status to completed when the "udleveret" button is clicked"
,,,,"Make the order change color when the status is changed"
,,,"Acceptance Criteria","Status is colour coded, and has text according to the colour"
,,,,"The status is changed when an employee tries to change the status"
"Update and delete (UD) in basket","As a UserI want to change amount (update and delete) a product in my basketIn order to compile my orderStorypoints - **xx**","",,
,,,"Acceptance Criteria","Consider arimethic overflow (value goes to below zero when adding absurd amounts of product)"
,,,,"Given that an amount hits zero or below, when changing amount in the basket, then the product will be removed"
,,,"Tasks","Change amount of exsisting product in Basket"
"Customer order update","As a customeri want to get status updates on my orderso i can see the progressStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given an order status changes, when an employee updates order, then an email is sent successfully."
,,,,"Given a customer doesn't want to get notifications, when having sent an order, then an email will not be sent."
,,,"Tasks","Send updates as an email, when the order status changes"
,,,,"Option to not get status notifications during check out process"
"User profile page","As a userI would like to view my account detailsBecause i want to check whether i agree with the current detailsStorypoints - **xx**","",,
,,,"Acceptance Criteria","Only user who are logged in can enter this page"
,,,,"User can only see their own details"
,,,,"When i enter the page all my details are displayed"
,,,,"Details can not be changed on this page"
,,,"Tasks","Profile details page"
,,,,"Profile details has same laout as update profile details page"
,,,,"Add "Opdater" button which moves the user to the update profile details page"
"Customer view orders page","As a customerI want to be able to see all my ordersIn order to see my current order(s) and to know what i have ordered in the past‌Storypoints - **xx**","",,
,,,"Tasks","Create "mine ordrer" page"
,,,,"Make it possible to navigate to the page from the profile page"
,,,"Acceptance Criteria","Customer can navigate to the "mine ordrer" page from the profile page"
,,,,"Customer can see their current order(s) and old orders on the page"
,,,,"Orders need to be shown with the newest order first"
,,,,"Show the 20? newest orders, customer can push a "næste side" button if they want to see more orders"
"Customer update profile","As a customerI want to be able to update my profileIn order to change my info if something changes‌Storypoints - **xx**","",,
,,,"Tasks","Make update profile page (form)"
,,,,"Make "din profil er opdateret" message"
,,,,"Make error messages if info in form is against restrictions"
,,,"Acceptance Criteria","Customer can navigate to the "opdater profil" page"
,,,,"Customer can fill out the form with new info"
,,,,"Customer gets a succes message if the profile is updated"
,,,,"Customer gets an error message if something goes wrong"
,,,,"Email cannot be updated by customer"
,,,,"Update profile page has the same design as the profile page"
,,,,"The update profile form has all the original info in the form"
"Admin show all users","As an adminI want to be able to see all usersIn order to manage the website‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Given when an Admin needs an overview of users, when accessing the "Vis Brugere" page, then the Admin will see all users"
,,,,"Page take less than 10 seconds to fully load"
,,,,"Can successfully navigate to "vis bruger" page"
,,,,"Filters and sort work"
,,,"Tasks","Add link to "vis brugere" page from navbar"
,,,,"Create "Vis brugere" page"
,,,,"Filters and sorts on roles and name"
"Admin update user","As an AdminI want to be able to update an existing userIn order to manage the websiteStorypoints - **xx**","",,
,,,"Tasks","Administrer button on all users in see all users"
,,,,"Create update page"
,,,,"Make success and error messages"
,,,"Acceptance Criteria","Correct user is updated"
,,,,"Admin can navigate to "Administrer bruger" page from the the "vis brugere" page"
,,,,"Success or error message shown"
"Admin deactivate/delete user","As an adminI want to be able to delete a userIn order to manage employees, undertakers and customersStorypoints - **xx**","",,
,,,"Tasks","Choose a user to delete"
,,,,"Set the users status to inactive"
,,,,"Make "are you sure" page before the user is deleted"
,,,,"Success and error messages"
,,,"Acceptance Criteria","The admin can navigate to "slet bruger" from the "administrer bruger" page"
,,,,"The right user is set to inactive"
,,,,"Success or error message shown"
"Employee/Admin manage product","As an employeeI want to update a productin order to manage product inventoryStorypoints - **xx**","",,
,,,"Acceptance Criteria","You can navigate to the "Opdater produkt" page from the pencil icon on the product page"
,,,,"Given an employee wants to update a product, when they have successfully filled the updated information, then an confirmation message is displayed"
,,,,"The update icon is only visible when logged in as employee or admin"
,,,,"Given an employee wants to update a product, when they have unsuccessfully filled the updated information, then an error message is displayed"
,,,,"The correct product gets updated"
,,,"Tasks","Make "Opdater produkt" page (form)"
,,,,"Add a pencil icon to every product only visible when logged in as employee or admin"
,,,,"Success or error message"
,,,,"A product can be disabled"
"Employee/Admin create product","As an employee/adminI want to be able to create a new productIn order to keep the product page updated with new productsStorypoints - **xx**","",,
,,,"Tasks",""Opret produkt" button"
,,,,"Product form page with file input"
,,,,"Recommend image dimensions"
,,,,"Make success/error messages"
,,,"Acceptance Criteria","Product is successfully created"
,,,,"The picture is saved in root/database? - Database is recommend when we have multiple razorpage servers"
,,,,"Given an employee is on the "Opret produkt" page, when the employee has not correctly filled out information for a product, then they get an error message"
,,,,"Given an employee is on the "Opret produkt" page, when the employee has correctly filled out information, then they get a success message"
"Employee/Admin disable product","As an employee/adminI want to be able to disable a productIn order to remove old products from the product page‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","The correct product is disabled"
,,,,"Is able to navigate to the disable product page from the "administrer produkt" page"
,,,,"Success and error messages work"
,,,"Tasks","Add "Disabled" bool"
,,,,"Success or error message"
,,,,"Make "are you sure" page before the product is disabled"
"Order page filter and sort","As an EmployeeI want to filter and sort in the orders,so I can have an overview of orders that are due or are my responsibilityStorypoints - **xx**","",,
,,,"Acceptance Criteria","Given that an employee sorts or filters, when interacting with the All Orders page, then the correct filters and sorts are applied"
,,,"Tasks","Sort by due date"
,,,,"Filter by due date"
,,,,"Sort by employee ID"
,,,,"Filter by employee ID"
,,,,"Filter by status"
,,,,"Sort by status"
,,,,"The default view is all orders, no older than 1 week"
"Product page filter","As a customerI want to be able to filter the products on the product pageSo i can find the right product easily‌Storypoints - **xx**","",,
,,,"Acceptance Criteria","Filter is persistent"
,,,,"Sort is persistent"
,,,,"Buttons are visible and working"
,,,"Tasks","Filter by price"
,,,,"Filter by colour"
,,,,"Sort by name"
,,,,"Sort by price"
,,,,"Filter by keyword (save this for later)"
,,,,"Add design to product catalog"
,,,,""Filtrer og sorter" button"
"Employee gets notification on new order","As an employeeI want to receive a notification from the system when a new order is submittedSo I can expedited the orderStorypoints - **xx**","",,
,,,"Tasks","New orders are in a different color"
,,,,"Badge counter for pending orders placed on the button link"
"Undertaker check out","As an undertakerI want to be able to choose a delivery location and timeIn order to conduct my businessStorypoints - **xx**","",,
,,,"Acceptance Criteria","Common customers can not enter undertaker check out flow"
,,,,"Input constraint on delivery address and deceased name"
,,,,"Order WITH delivery is successfully created and added to database"
,,,,"Success and error messages work"
,,,"Tasks","If account is undertaker, redirect to undertaker check out flow"
,,,,"Delivery page (form)"
,,,,"Success or error message"
"Employee see and reenable disabled products","As an employeeI want to be able to see disabled products and reenableIn order to manage product catalogStorypoints - **xx**","",,
,,,"Acceptance Criteria",""Se udgåede produkter" button works"
,,,,"reenable button reenables correct product"
,,,,"See disabled product only visable when logged in as employee or admin"
,,,,"Disabled products look different from normal products (grey coloured?)"
,,,"Tasks","See disabled button on product sides"
,,,,"Reenable button on disabled products"
"Basket product count badge","As a customerI would like to see the amount of products in the basket without being on the basket pageBecause i'm lazyStorypoints - **xx**","",,
,,,"Tasks","Add a badge to a basket"
,,,"Acceptance Criteria","Badge is red"
,,,,"Badge is placed in bottom right corner of the button"
,,,,"Badge counts amount of orderlines correct"
"Website edit icon everywhere","As an employee/adminI want to be able to edit the static elements on the websiteIn order to update themStorypoints - **xx**","",,
,,,"Acceptance Criteria","Changes gets saved to the database (somehow)"
,,,,"Changes are immediate (no double confirm)"
,,,"Tasks","Edit icon next to static text"
,,,,"Edit icon next to static images"
,,,,"Only visible when logged in as employee or admin"
,,,,"When editing a save button appear"
,,,,"Make changes persistent"
"Extra nav bar on profile pages","As a customerI want to be able to easily navigate my profile pagesSo the UX feels smooth and unhinderedStorypoints - **xx**","",,
,,,"Acceptance Criteria","Links to "Profil", "Mine ordrer", "Logout""
,,,,"Only visable when on a cutomer profil pages"
,,,,"Only visable when on a cutomer profil pages"
,,,"Tasks","Extra nav bar (either on the side of the page or below the top navigation bar)"
"Search bar logic","As a customerI want to search for products by textBecause im fairly sure of what i wantStorypoints - **xx**","",,
,,,"Tasks","Query in product name from input"
,,,,"Error message"
,,,"Acceptance Criteria","If search bar is empty do nothing"
,,,,"If search bar is not empty begin looking for all products which matches the entered string somehow"
,,,,"Return the right result"
,,,,"Shown error when empty result"
"Search result page","As a userI want to be able to see my search resultsIn order to be able to choose my productStorypoints - **xx**","",,
,,,"Tasks","Create search result page in same design as product pages"
,,,,"Display search result"
,,,"Acceptance Criteria","A search redirects to result page"
,,,,"Correct products are displayed"
"User search result sort/filter","As a userI want to be able to sort and filter the given search results, after a product searchSo i better can find, what I am searching forStorypoints - **xx**","",,
,,,"Tasks","Sort by Name, Price etc."
,,,,"Filter further on Name, Price etc."
,,,"Acceptance Criteria","Given a user has queried a search, when the search results has been displayed, then the user should be able to filter and sort the result"
"Allow visitors without account to create orders","Storypoints - **xx**","",,
"Database connection is lost","Storypoints - **xx**","",,
,,,"Tasks","Display error message to webpage visitors when connection to database is lost"
"US 12 Se Alle Produkter (Kunde)","*Som* kunde, *Ønsker jeg* at se alle tilgængelige produkter, *Med det formål* at vælge et produkt.","1 (green_light)",,
,,,"Tasks","Implementer en produktoversigtsside med alle tilgængelige produkter."
,,,"Acceptance Criteria","Givet at en kunde besøger produktoversigtssiden, *når* de kigger igennem siden, *så* skal de kunne se alle produkter, der er til salg."
"US 38 Oversigt over Produkter (Kunde)","Som kunde vil jeg kunne se en oversigt over blomsterarrangementer, så jeg kan vælge det, der passer til lejligheden.","3 (yellow)",,
,,,"Tasks","Implementer kategorier, hvor produkter der har samme tema vises"
,,,"Acceptance Criteria","Givet at en kunde vil se en bestemt produktkategori, *når* de leder efter et produkt der opfylder deres behov, *så* får de en tilsvarende afgrænset visning af produktkataloget."
"US 13 Tilføj til Kurv (Kunde)","_Som_ kunde, _Ønsker jeg_ at tilføje et produkt til min kurv, _Med det formål_ at samle min bestilling.","5 (orange)",,
,,,"Tasks","Implementer en funktion til at tilføje produkter til en indkøbskurv."
,,,"Acceptance Criteria","Givet at en kunde vælger et produkt, *når* de klikker på "tilføj til kurv"-knappen, *så* skal produktet blive tilføjet til deres kurv."
"US 20 Ændre Produkter i Kurv (Bruger)","*Som* bruger, *Ønsker jeg* at ændre mængden af produkter i min kurv, *Med det formål* at justere min bestilling før køb.","2 (green)",,
,,,"Tasks","Implementer en redigeringsfunktion i kurven, hvor brugeren kan opdatere antallet eller fjerne produkter fra kurven."
,,,"Acceptance Criteria","Givet at en bruger ønsker at ændre sin bestilling, *når* de besøger kurvsiden, *så* skal de kunne ændre antallet af produkter eller fjerne dem fra kurven."
"US 15 Opret Ordre (Kunde)","*Som* kunde, *Ønsker jeg* at skabe en ordre fra min kurv, *Med det formål* at købe de valgte produkter.","2 (green)",,
,,,"Tasks","Udvikle en proces, hvor kunden kan omdanne indholdet af kurven til en ordre."
,,,"Acceptance Criteria","Givet at en kunde har valgt produkter i kurven, *når* de klikker på "bestil", *så* skal de kunne gennemføre købet og se en ordrebekræftelse."
"US 14 Kurv til Ordre","_Som_ ejer, _Ønsker jeg_ at kunden skal give relevant kontaktinformation for at kunne købe en ordre fra kurven, _Med det formål_ at undgå anonyme køb.","3 (yellow)",,
,,,"Tasks","Kræv at brugere afgiver kontaktinformation, uden at oprette bruger"
,,,"Acceptance Criteria","Givet at en anonym kunde ønsker at købe produkterne i kurv, *når* de forsøger at gøre dette, *så* bliver de bedt om at logge ind, oprette en konto eller afgive kontaktinformation."
"US 44 Registrerer sig (Kunde)","Som kunde, ønsker jeg selv at kunne registrer mig til webshoppen, så jeg hurtigst muligt kan udnytte fordele ved at være registreret bruger","5 (orange)",,
,,,"Tasks","Implementer registrerings funktion"
,,,,"Opret registreringsside"
,,,"Acceptance Criteria","Givet at en anonym bruger, når denne vil registrerer sig på sitet, så vil denne få en bruger, som vedkommende kan logge ind med"
"US 42 Log ind (Kunde)","Som kunde vil jeg kunne logge ind, så jeg kan se mine ordrer og betalinger.","3 (yellow)",,
,,,"Tasks","Implementer login funktion"
,,,,"Implementer "forkert password" funktion"
,,,"Acceptance Criteria","Givet at en registreret kunde ønsker at logge ind når denne ønsker at interagere med siden som en registreret bruger, så vil denne logge ind, såfremt korrekt password og username er anvendt"
"US 43 Log ud (Kunde)","Som kunde vil jeg kunne logge ud, så jeg kan sikre, at mine oplysninger ikke er tilgængelige for andre.","3 (yellow)",,
,,,"Tasks","Implementer log ud funktion"
,,,,"Implementer auto-log ud funktion"
,,,"Acceptance Criteria","Givet at en kunde vil logge ud, når denne er færdig med at interagere med sitet, så vil denne logges ud og returneres til forsiden"
"US 39 Profiloplysninger (Kunde)","Som kunde vil jeg kunne se en oversigt over mine personlige oplysninger, så jeg kan se, hvad I har registreret om mig.","3 (yellow)",,
,,,"Tasks","Opret side, hvor den kunde, der er logget ind, kan se sine egne oplysninger"
,,,"Acceptance Criteria","Givet at en kunde vil se sine egne registrerede oplysninger, når kunden er på sin profilside, så vil kunden kunne se dem på en heuristisk designet facon"
"US 40 Ændre profiloplysninger (Kunde)","Som kunde vil jeg kunne ændre mine personlige oplysninger, så jeg kan sikre, at de er korrekte.","3 (yellow)",,
,,,"Tasks","Kunde skal kunne ændre i egen personlige oplysninger"
,,,"Acceptance Criteria","Givet at en kunde vil opdatere sine oplysninger, når disse har ændret sig, så vil kunden kunne se sine oplysninger er opdateret til det af kunden angivne værdier"
"US 33 Log Ind på Ordreportal (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at kunne logge ind på ordreportalen, *Med det formål* at kunne ekspedere ordrer.","5 (orange)",,
,,,"Tasks","Implementer en sikker log ind-funktion specifikt for medarbejdere på ordreportalen."
,,,"Acceptance Criteria","Givet at en medarbejder står foran sin arbejdsstation, *når* de indtaster deres legitimationsoplysninger, *så* skal de have adgang til ordreportalen, hvor de kan administrere ordrer."
"US 4 Produktadministration (Bestyrer)","*Som* bestyrer, *Ønsker jeg* at kunne oprette og opdatere produkter i webshoppen, *Med det formål* at sikre, at produktudvalget altid er aktuelt og korrekt prissat.","5 (orange)",,
,,,"Tasks","Udvikle en brugergrænseflade for produktadministration i administrationspanelet."
,,,,"Implementere et samlet dashboard med oversigt over alle Produkter"
,,,"Acceptance Criteria","Givet at en bestyrer er logget ind, *når* de tilgår produktadministrationsmodulet, *så* skal de kunne tilføje nye produkter, redigere eksisterende produkter og arkivere forældede produkter."
"US 16 Ordreoversigt (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at kunne se alle ordrer, *Med det formål* at få et overblik over arbejdsbyrden.","3 (yellow)",,
,,,"Tasks","Udvikle et dashboard, hvor medarbejdere kan se en liste over alle aktuelle ordrer."
,,,"Acceptance Criteria","Givet at en medarbejder er logget ind, *når* de tilgår dashboardet, *så* skal de kunne se og sortere alle ordrer efter status, dato og andre relevante kriterier."
"US 3 Ordrehåndtering (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at kunne se og administrere indkommende ordrer, *Med det formål* at effektivisere processen for ordreklargøring og levering.","3 (yellow)",,
,,,"Tasks","Implementer en administrationsside for medarbejdere til håndtering af nye ordrer."
,,,"Acceptance Criteria","Givet at en medarbejder er logget ind, *når* de tilgår administrationspanelet, *så* skal de kunne se en liste over aktive ordrer og opdatere deres status."
"US 35 Opdatere Ordrestatus (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at kunne opdatere ordrestatus, *Med det formål* at tydeliggøre for alle brugere, hvor langt ordren er i processen.","3 (yellow)",,
,,,"Tasks","Skabe en funktion, der tillader medarbejdere at opdatere status for en ordre i realtid."
,,,"Acceptance Criteria","Givet at en ordre er i gang med at blive ekspederet, *når* medarbejderen opdaterer ordrens status, *så* skal denne opdatering være synlig for alle relevante parter, herunder andre medarbejdere og kunden, hvis de tjekker status online."
"US 34 Se Ordredetaljer (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at kunne se ordredetaljer om blomsterarrangementet, *Med det formål* at kunne ekspedere ordrer korrekt og effektivt.","1 (green_light)",,
,,,"Tasks","Udvikle en funktion, der viser fulde detaljer for hver ordre, inklusive specifikationer for blomsterarrangementet."
,,,"Acceptance Criteria","Givet at en medarbejder behandler en ordre, *når* de tilgår ordren på systemet, *så* skal de kunne se alle relevante detaljer om blomsterarrangementet, som er nødvendige for at færdiggøre ordren korrekt."
"US 19 Ordreklargøring (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at markere en ordre som klar til afhentning og fuldført, *Med det formål* at administrere ordreflowet effektivt.","2 (green)",,
,,,"Tasks","Skab en funktion, hvor medarbejdere kan opdatere ordrens status til "klar til afhentning" og senere "afhentet"."
,,,"Acceptance Criteria","Givet at en ordre er færdigpakket, *når* medarbejderen opdaterer systemet, *så* skal statussen ændres, så kunden og andre medarbejdere kan se, at ordren er klar eller afhentet."
"US 7 - Medarbejder - Lagerstyring","*Som* medarbejder, *Ønsker jeg* et dashboard til at monitorere lagerstatus, *Med det formål* at forebygge mangler og optimere lagerbeholdningen.","3 (yellow)",,
,,,"Tasks","- Implementer et lagerstyringsmodul i medarbejderens administrationspanel."
,,,"Acceptance Criteria","- *Givet* at en medarbejder ønsker at tjekke lagerstatus, *når* de logger ind på dashboardet, *så* skal de kunne se aktuelle lagerantal for alle produkter."
"US 8 - Bestyrer - Salgsrapporter","*Som* bestyrer, *Ønsker jeg* at kunne generere detaljerede salgsrapporter, *Med det formål* at analysere salgstendenser og foretage datadrevne beslutninger.","3 (yellow)",,
,,,"Tasks","- Udvikle en funktion til at generere og eksportere salgsrapporter i administrationspanelet."
,,,"Acceptance Criteria","- *Givet* at en bestyrer ønsker at se salgsdata, *når* de vælger rapporteringsperioden og genererer rapporten, *så* præsenteres de for en detaljeret rapport over salg fordelt på produkter, kategorier og tidspunkter."
"US 9 - Kunde - Gavekort og rabatkoder","*Som* kunde, *Ønsker jeg* at kunne anvende gavekort og rabatkoder ved checkout, *Med det formål* at udnytte tilbud og spare penge på køb.","3 (yellow)",,
,,,"Tasks","- Udvikle en funktion, der tillader kunder at indløse gavekort og anvende rabatkoder ved betaling."
,,,"Acceptance Criteria","- *Givet* at en kunde har et gyldigt gavekort eller rabatkode, *når* de indtaster koden ved checkout, *så* skal den pågældende rabat eller gavekortets værdi fratrækkes fra den samlede ordre."
"US 10 - Medarbejder - Automatiske notifikationer","*Som* medarbejder, *Ønsker jeg* at modtage automatiske notifikationer om nye ordrer, *Med det formål* at kunne påbegynde ordrebehandling så hurtigt som muligt.","3 (yellow)",,
,,,"Tasks","- Implementer en notifikationsfunktion, der alarmerer medarbejdere om nye ordrer via e-mail eller systempopup."
,,,"Acceptance Criteria","- *Givet* at en ny ordre er afgivet, *når* ordren registreres i systemet, *så* modtager relevante medarbejdere en notifikation."
"US 11 - Kunde - Feedback og anmeldelser","*Som* kunde, *Ønsker jeg* at kunne afgive feedback og anmelde produkter, *Med det formål* at dele min oplevelse med andre kunder og hjælpe dem med at træffe informerede købsbeslutninger.","3 (yellow)",,
,,,"Tasks","- Implementer en feedback- og anmeldelsesfunktion på produkt siderne."
,,,"Acceptance Criteria","- *Givet* at en kunde har købt et produkt, *når* de besøger produktets side efter købet, *så* skal de kunne skrive og indsende en anmeldelse."
"US 12 - Se Produkter","*Som* kunde, *Ønsker jeg* at se alle tilgængelige produkter, *Med det formål* at vælge et produkt.","3 (yellow)",,
,,,"Tasks","- Implementer en produktoversigtsside med alle tilgængelige produkter."
,,,"Acceptance Criteria","- *Givet* at en kunde besøger produktoversigtssiden, *når* de kigger igennem siden, *så* skal de kunne se alle produkter, der er til salg."
"US 13 - Tilføj til Kurv","*Som* bruger, *Ønsker jeg* at tilføje et produkt til min kurv, *Med det formål* at samle min bestilling.","3 (yellow)",,
,,,"Tasks","- Implementer en funktion til at tilføje produkter til en indkøbskurv."
,,,"Acceptance Criteria","- *Givet* at en bruger vælger et produkt, *når* de klikker på "tilføj til kurv"-knappen, *så* skal produktet blive tilføjet til deres kurv."
"US 18 Ordreansvar (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at kunne tildele en ordre til mig selv, *Med det formål* at sikre ansvarsfordelingen for ordrehåndteringen.","2 (green)",,
,,,"Tasks","Udvikle et system, hvor medarbejdere kan tildele specifikke ordrer til sig selv for håndtering."
,,,"Acceptance Criteria","Givet at en ordre skal behandles, *når* en medarbejder vælger ordren, *så* skal de kunne markere den som "under behandling" af sig selv."
"US 25 Ordrefilter og -sortering (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at filtrere og sortere ordrer, *Med det formål* at få et overblik over ordrer, der er forfaldne eller som jeg er ansvarlig for.","3 (yellow)",,
,,,"Tasks","Implementere filter og sorteringsfunktioner i ordreoversigten."
,,,"Acceptance Criteria","Givet at der er behov for at organisere ordrer, *når* medarbejderen anvender filter og sorteringsfunktionerne, *så* skal de kunne se en organiseret liste over ordrer."
"US 2 Speciel Ordre Funktion (Bedemand)","*Som* bedemand, *Ønsker jeg* at kunne bestille specialdesignet blomsterarrangement direkte via en dedikeret side, *Med det formål* at effektivisere bestillingsprocessen for begravelsesarrangementer.","3 (yellow)",,
,,,"Tasks","Opret en dedikeret side for bedemænd med tilpassede bestillingsmuligheder."
,,,"Acceptance Criteria","Givet at en bedemand er logget ind, *når* de tilgår den dedikerede side, *så* skal de kunne vælge og tilpasse blomsterarrangementer specielt designet til begravelser."
"US 26 Produktfiltrering (Kunde)","*Som* kunde, *Ønsker jeg* at kunne filtrere produkter på produktsiden, *Med det formål* nemt at finde det rigtige produkt.","3 (yellow)",,
,,,"Tasks","Oprette filter og sorteringsfunktioner i ordreoversigten."
,,,"Acceptance Criteria","Givet at en kunde søger efter et specifikt produkt, *når* de bruger filterfunktionerne, *så* skal de kunne se en filtreret liste af produkter, der matcher deres kriterier."
"US 37 Navigation i Profil (Kunde)","*Som* kunde, *Ønsker jeg* at kunne navigere nemt på mine profilsider, *Med det formål* at brugeroplevelsen føles glidende og uforstyrret.","3 (yellow)",,
,,,"Tasks","Design en brugervenlig og intuitiv grænseflade for kundens profilområde."
,,,"Acceptance Criteria","Givet at en kunde ønsker at administrere sin profil, *når* de navigerer på deres profil, *så* skal de kunne gøre det uden forvirring eller forstyrrelser."
"US 5 Ordreopfølgning (Kunde)","*Som* kunde, *Ønsker jeg* at kunne spore status for min ordre, *Med det formål* at holde mig opdateret om leveringstidspunktet.","3 (yellow)",,
,,,"Tasks","Implementer en funktion til ordreopfølgning på kundens profilside."
,,,,"Dashboard til kunden, så de kan se alle deres ordre"
,,,"Acceptance Criteria","Givet at kunden har afgivet en ordre, *når* de logger ind og tjekker deres ordrestatus, *så* skal de kunne se den aktuelle status og forventet leveringstidspunkt."
"US 23 Opret Nyt Produkt (Medarbejder/Administrator)","*Som* medarbejder/administrator, *Ønsker jeg* at kunne oprette et nyt produkt, *Med det formål* at holde produktkataloget opdateret med nye varer.","3 (yellow)",,
,,,"Tasks","Skabe en tilføj produkt-funktion på webshoppen for medarbejdere og administratorer."
,,,"Acceptance Criteria","Givet at webshoppen skal have nye produkter tilføjet, *når* medarbejder/administrator indtaster produktdetaljerne og uploader billeder, *så* skal det nye produkt være tilgængeligt i webshoppen."
"US 22 Produktopdatering (Medarbejder)","*Som* medarbejder, *Ønsker jeg* at opdatere produkter, *Med det formål* at styre lagerbeholdningen.","3 (yellow)",,
,,,"Tasks","Udvikle et interface til opdatering af produktinformationer og lagerstatus."
,,,"Acceptance Criteria","Givet at et produkt behøver en opdatering, *når* medarbejderen ændrer informationen i systemet, *så* skal disse ændringer være synlige på webshoppen."
"US 24 Deaktiver Produkt (Medarbejder/Administrator)","*Som* medarbejder/administrator, *Ønsker jeg* at kunne deaktivere et produkt, *Med det formål* at fjerne gamle produkter fra produktkataloget.","5 (orange)",,
,,,"Tasks","Implementer en funktion til at deaktivere produkter i produktoversigten."
,,,"Acceptance Criteria","Givet at et produkt ikke længere skal sælges, *når* medarbejder/administrator deaktiverer produktet i systemet, *så* skal produktet ikke længere være synligt for kunder."
"US 14 - Adgang til Kurv","*Som* ejer, *Ønsker jeg* at kunden skal være logget ind for at få adgang til kurven, *Med det formål* at undgå anonyme køb.","3 (yellow)",,
